,Name,QS_Rank,Country,Region,url,fac_staff,fac_staffint,students,students_int,stats_student_staff_ratio,stats_pc_intl_students,QS_Rank_unique
176,CentraleSupélec,177,France,Europe,/universities/centralesup%C3%A9lec,529,137,3877,1132,7.328922495274102,29.1978333763219,177
177,University of Florida,178,United States,North America,/universities/university-florida,5419,504,45485,4597,8.393615058128805,10.10662855886556,178
178,Indian Institute of Technology Bombay (IITB),=179,India,Asia,/universities/indian-institute-technology-bombay-iitb,876,19,9402,93,10.732876712328768,0.9891512444160817,179
179,University of Twente,=179,Netherlands,Europe,/universities/university-twente,910,299,9332,2235,10.254945054945056,23.949849978568366,180
180,University of Göttingen,181,Germany,Europe,/universities/university-g%C3%B6ttingen,3678,641,30402,3736,8.265905383360522,12.288665219393462,181
181,Vrije Universiteit Brussel (VUB),=182,Belgium,Europe,/universities/vrije-universiteit-brussel-vub,1792,515,9284,1853,5.180803571428571,19.959069366652304,182
182,Universidade Estadual de Campinas (Unicamp),=182,Brazil,Latin America,/universities/universidade-estadual-de-campinas-unicamp,1968,109,26572,966,13.502032520325203,3.6354056902002108,183
183,University of Colorado Boulder,=182,United States,North America,/universities/university-colorado-boulder,3685,566,30219,2679,8.200542740841248,8.865283430954035,184
184,Vienna University of Technology,=182,Austria,Europe,/universities/vienna-university-technology,706,172,17479,5199,24.757790368271955,29.74426454602666,185
185,University of Rochester,186,United States,North America,/universities/university-rochester,2569,488,9636,2805,3.750875827170105,29.10958904109589,186
186,Universidad Autónoma de Madrid,187,Spain,Europe,/universities/universidad-aut%C3%B3noma-de-madrid,2738,181,26511,2976,9.682615047479912,11.22552902568745,187
187,Alma Mater Studiorum - University of Bologna,=188,Italy,Europe,/universities/alma-mater-studiorum-university-bologna,2990,153,63399,4195,21.203678929765886,6.616823609205192,188
188,University of Reading,=188,United Kingdom,Europe,/universities/university-reading,1280,422,13330,4077,10.4140625,30.585146286571643,189
189,Indian Institute of Science (IISc) Bangalore,190,India,Asia,/universities/indian-institute-science-iisc-bangalore,423,0,4071,47,9.624113475177305,1.1545074920167036,190
190,University of Cape Town,191,South Africa,Africa,/universities/university-cape-town,1733,379,19593,3325,11.305828043854588,16.97034655234012,191
191,Scuola Normale Superiore di Pisa,=192,Italy,Europe,/universities/scuola-normale-superiore-di-pisa,86,1,532,48,6.186046511627907,9.022556390977444,192
192,Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,=192,Italy,Europe,/universities/scuola-superiore-santanna-pisa-di-studi-universitari-e-di-perfezionamento,119,1,789,135,6.630252100840337,17.11026615969582,193
193,Keio University CEMS MIM,=192,Japan,Asia,/universities/keio-university-cems-mim,3905,261,33500,2178,8.578745198463508,6.501492537313433,194
194,Stockholm University,=195,Sweden,Europe,/universities/stockholm-university,2154,646,28281,2636,13.129526462395543,9.320745376754711,195
195,Universitat Autònoma de Barcelona,=195,Spain,Europe,/universities/universitat-aut%C3%B2noma-de-barcelona,2187,230,31986,3848,14.62551440329218,12.030263240167573,196
196,Texas A&M University,=195,United States,North America,/universities/texas-am-university,3446,206,60294,4900,17.496807893209517,8.126845125551464,197
197,Instituto Tecnológico y de Estudios Superiores de Monterrey,199,Mexico,Latin America,/universities/instituto-tecnol%C3%B3gico-y-de-estudios-superiores-de-monterrey,1822,821,13376,1412,7.3413830954994514,10.55622009569378,198
198,Maastricht University,200,Netherlands,Europe,/universities/maastricht-university,1277,502,16385,8234,12.83085356303837,50.253280439426305,199
199,Universidad de Chile,201,Chile,Latin America,/universities/universidad-de-chile,2256,127,38848,2134,17.21985815602837,5.49320428336079,200
