Year,district_name,CH_nonCH,Total
1996,Hochschulen,Swiss,584
1996,Hottingen,Foreign,2253
1996,Hottingen,Swiss,8095
1996,Höngg,Foreign,3150
1996,Höngg,Swiss,16454
1996,Langstrasse,Foreign,4958
1996,Langstrasse,Swiss,5760
1996,Leimbach,Foreign,782
1996,Leimbach,Swiss,3771
1996,Lindenhof,Foreign,157
1996,Lindenhof,Swiss,887
1996,Mühlebach,Foreign,1200
1996,Mühlebach,Swiss,4366
1996,Oberstrass,Foreign,2298
1996,Oberstrass,Swiss,7812
1996,Oerlikon,Foreign,5285
1996,Oerlikon,Swiss,11528
1996,Rathaus,Foreign,585
1996,Rathaus,Swiss,2493
1996,Saatlen,Foreign,1534
1996,Saatlen,Swiss,4850
1996,Schwamendingen-Mitte,Foreign,3474
1996,Schwamendingen-Mitte,Swiss,6667
1996,Seebach,Foreign,5379
1996,Seebach,Swiss,12245
1996,Seefeld,Foreign,1260
1996,Seefeld,Swiss,3966
1996,Sihlfeld,Foreign,8058
1996,Sihlfeld,Swiss,13175
1996,Unterstrass,Foreign,4517
1996,Unterstrass,Swiss,15801
1996,Weinegg,Foreign,1301
1996,Weinegg,Swiss,3599
1996,Werd,Foreign,1618
1996,Werd,Swiss,2361
1996,Wipkingen,Foreign,5560
1996,Wipkingen,Swiss,10571
1996,Witikon,Foreign,1390
1996,Witikon,Swiss,8257
1996,Wollishofen,Foreign,3361
1996,Wollishofen,Swiss,12483
1997,Affoltern,Foreign,4669
1997,Affoltern,Swiss,13508
1997,Albisrieden,Foreign,3613
1997,Albisrieden,Swiss,13017
1997,Alt-Wiedikon,Foreign,5147
1997,Alt-Wiedikon,Swiss,9853
1997,Altstetten,Foreign,9619
1997,Altstetten,Swiss,18044
1997,City,Foreign,282
1997,City,Swiss,714
1997,Enge,Foreign,1906
1997,Enge,Swiss,6258
1997,Escher Wyss,Foreign,715
1997,Escher Wyss,Swiss,907
1997,Fluntern,Foreign,1414
1997,Fluntern,Swiss,5777
1997,Friesenberg,Foreign,1992
1997,Friesenberg,Swiss,7999
1997,Gewerbeschule,Foreign,4427
1997,Gewerbeschule,Swiss,5098
1997,Hard,Foreign,6192
1997,Hard,Swiss,6692
1997,Hirslanden,Foreign,1204
1997,Hirslanden,Swiss,5455
1997,Hirzenbach,Foreign,3360
1997,Hirzenbach,Swiss,7653
1997,Hochschulen,Foreign,178
1997,Hochschulen,Swiss,584
1997,Hottingen,Foreign,2141
1997,Hottingen,Swiss,8185
1997,Höngg,Foreign,3276
1997,Höngg,Swiss,16517
1997,Langstrasse,Foreign,4637
1997,Langstrasse,Swiss,5843
1997,Leimbach,Foreign,787
1997,Leimbach,Swiss,3697
1997,Lindenhof,Foreign,150
1997,Lindenhof,Swiss,875
1997,Mühlebach,Foreign,1174
1997,Mühlebach,Swiss,4300
1997,Oberstrass,Foreign,2201
1997,Oberstrass,Swiss,7793
