Year,borough_code,borough_name,tax_code,tax_class,tax_wealth_p50,tax_wealth_p25,tax_wealth_p75
2000,33,Friesenberg,2,single parent family rate,6.0,0.0,37.0
2000,34,Sihlfeld,0,base rate,15.0,0.0,87.0
2000,34,Sihlfeld,1,couple rate,35.0,0.0,187.0
2000,34,Sihlfeld,2,single parent family rate,0.0,0.0,22.0
2000,41,Werd,0,base rate,13.0,0.0,71.0
2000,41,Werd,1,couple rate,16.0,0.0,140.0
2000,41,Werd,2,single parent family rate,0.0,0.0,34.0
2000,42,Langstrasse,0,base rate,4.0,0.0,39.0
2000,42,Langstrasse,1,couple rate,6.0,0.0,90.0
2000,42,Langstrasse,2,single parent family rate,0.0,0.0,15.0
2000,44,Hard,0,base rate,8.0,0.0,56.0
2000,44,Hard,1,couple rate,9.0,0.0,86.0
2000,44,Hard,2,single parent family rate,0.0,0.0,11.0
2000,51,Gewerbeschule,0,base rate,8.0,0.0,54.0
2000,51,Gewerbeschule,1,couple rate,16.0,0.0,106.0
2000,51,Gewerbeschule,2,single parent family rate,0.0,0.0,29.0
2000,52,Escher Wyss,0,base rate,12.0,0.0,74.0
2000,52,Escher Wyss,1,couple rate,32.0,0.0,218.0
2000,52,Escher Wyss,2,single parent family rate,0.0,0.0,68.0
2000,61,Unterstrass,0,base rate,34.0,2.0,155.0
2000,61,Unterstrass,1,couple rate,114.0,18.0,346.0
2000,61,Unterstrass,2,single parent family rate,11.0,0.0,65.0
2000,63,Oberstrass,0,base rate,46.0,5.0,222.0
2000,63,Oberstrass,1,couple rate,257.0,56.0,921.0
2000,63,Oberstrass,2,single parent family rate,63.0,5.0,226.5
2000,71,Fluntern,0,base rate,72.0,8.0,446.0
2000,71,Fluntern,1,couple rate,519.0,122.0,1875.0
2000,71,Fluntern,2,single parent family rate,70.5,6.0,267.0
2000,72,Hottingen,0,base rate,49.0,4.0,269.0
2000,72,Hottingen,1,couple rate,293.5,67.0,1123.0
2000,72,Hottingen,2,single parent family rate,27.5,0.0,194.5
2000,73,Hirslanden,0,base rate,44.5,7.0,216.0
2000,73,Hirslanden,1,couple rate,229.0,52.5,844.5
2000,73,Hirslanden,2,single parent family rate,22.0,0.0,115.0
2000,74,Witikon,0,base rate,76.0,11.0,361.0
2000,74,Witikon,1,couple rate,291.0,79.0,964.0
2000,74,Witikon,2,single parent family rate,39.0,0.0,174.0
2000,81,Seefeld,0,base rate,35.0,1.0,195.0
2000,81,Seefeld,1,couple rate,200.0,34.0,558.0
2000,81,Seefeld,2,single parent family rate,34.5,0.0,118.0
2000,82,Mühlebach,0,base rate,38.0,2.0,176.5
2000,82,Mühlebach,1,couple rate,194.5,43.0,623.0
2000,82,Mühlebach,2,single parent family rate,29.0,0.0,139.0
2000,83,Weinegg,0,base rate,41.0,3.0,235.0
2000,83,Weinegg,1,couple rate,188.0,22.0,816.0
2000,83,Weinegg,2,single parent family rate,21.0,0.0,136.0
2000,91,Albisrieden,0,base rate,34.0,2.0,154.0
2000,91,Albisrieden,1,couple rate,126.0,24.0,355.0
2000,91,Albisrieden,2,single parent family rate,9.0,0.0,55.5
2000,92,Altstetten,0,base rate,16.0,0.0,94.0
2000,92,Altstetten,1,couple rate,54.5,0.0,213.0
2000,92,Altstetten,2,single parent family rate,0.0,0.0,21.0
2000,101,Höngg,0,base rate,49.0,5.0,228.0
2000,101,Höngg,1,couple rate,174.0,38.0,522.0
2000,101,Höngg,2,single parent family rate,15.0,0.0,82.0
2000,102,Wipkingen,0,base rate,22.0,0.0,100.0
2000,102,Wipkingen,1,couple rate,67.0,0.0,275.0
2000,102,Wipkingen,2,single parent family rate,6.0,0.0,43.0
2000,111,Affoltern,0,base rate,16.0,0.0,85.0
2000,111,Affoltern,1,couple rate,77.0,6.0,241.0
2000,111,Affoltern,2,single parent family rate,4.0,0.0,39.0
2000,115,Oerlikon,0,base rate,23.0,0.0,119.0
2000,115,Oerlikon,1,couple rate,88.0,5.0,333.0
2000,115,Oerlikon,2,single parent family rate,6.0,0.0,53.0
2000,119,Seebach,0,base rate,15.0,0.0,91.0
2000,119,Seebach,1,couple rate,61.0,0.0,231.0
2000,119,Seebach,2,single parent family rate,0.0,0.0,23.0
2000,121,Saatlen,0,base rate,13.0,0.0,65.0
2000,121,Saatlen,1,couple rate,40.0,0.0,153.0
2000,121,Saatlen,2,single parent family rate,2.5,0.0,23.0
2000,122,Schwamendingen-Mitte,0,base rate,14.52,0.0,86.0
2000,122,Schwamendingen-Mitte,1,couple rate,55.0,0.0,207.5
2000,122,Schwamendingen-Mitte,2,single parent family rate,0.0,0.0,19.0
2000,123,Hirzenbach,0,base rate,16.0,0.0,74.0
2000,123,Hirzenbach,1,couple rate,51.0,0.0,183.0
2000,123,Hirzenbach,2,single parent family rate,0.0,0.0,20.0
2001,11,Rathaus,0,base rate,23.0,0.0,137.0
2001,11,Rathaus,1,couple rate,218.5,35.0,779.0
2001,11,Rathaus,2,single parent family rate,43.5,2.5,300.5
2001,12,Hochschulen,0,base rate,34.0,0.0,205.0
2001,12,Hochschulen,1,couple rate,286.0,57.0,1052.0
2001,12,Hochschulen,2,single parent family rate,169.0,6.0,220.0
2001,13,Lindenhof,0,base rate,55.0,4.0,302.0
2001,13,Lindenhof,1,couple rate,310.0,60.0,1343.0
2001,13,Lindenhof,2,single parent family rate,113.0,37.0,1133.5
2001,14,City,0,base rate,11.0,0.0,68.0
2001,14,City,1,couple rate,58.0,9.0,277.0
2001,14,City,2,single parent family rate,12.0,0.0,39.0
2001,21,Wollishofen,0,base rate,38.0,5.0,182.0
2001,21,Wollishofen,1,couple rate,147.0,30.5,429.5
2001,21,Wollishofen,2,single parent family rate,10.0,0.0,60.0
2001,23,Leimbach,0,base rate,30.0,2.0,148.0
2001,23,Leimbach,1,couple rate,116.0,19.0,370.0
2001,23,Leimbach,2,single parent family rate,8.0,0.0,41.0
2001,24,Enge,0,base rate,38.0,2.0,206.5
2001,24,Enge,1,couple rate,217.0,35.0,744.0
2001,24,Enge,2,single parent family rate,11.0,0.0,125.0
2001,31,Alt-Wiedikon,0,base rate,24.0,0.0,109.0
2001,31,Alt-Wiedikon,1,couple rate,64.0,0.0,279.0
2001,31,Alt-Wiedikon,2,single parent family rate,3.5,0.0,51.0
2001,33,Friesenberg,0,base rate,20.0,0.0,96.5
2001,33,Friesenberg,1,couple rate,77.0,10.0,208.0
2001,33,Friesenberg,2,single parent family rate,4.0,0.0,43.0
2001,34,Sihlfeld,0,base rate,16.0,0.0,87.0
2001,34,Sihlfeld,1,couple rate,34.0,0.0,185.0
2001,34,Sihlfeld,2,single parent family rate,2.0,0.0,25.0
2001,41,Werd,0,base rate,15.0,0.0,74.0
2001,41,Werd,1,couple rate,17.5,0.0,121.0
2001,41,Werd,2,single parent family rate,0.0,0.0,27.0
2001,42,Langstrasse,0,base rate,5.0,0.0,45.0
2001,42,Langstrasse,1,couple rate,5.0,0.0,92.0
2001,42,Langstrasse,2,single parent family rate,0.0,0.0,16.0
2001,44,Hard,0,base rate,8.0,0.0,56.0
2001,44,Hard,1,couple rate,8.0,0.0,86.0
2001,44,Hard,2,single parent family rate,0.0,0.0,12.0
2001,51,Gewerbeschule,0,base rate,10.0,0.0,57.0
2001,51,Gewerbeschule,1,couple rate,16.0,0.0,120.0
2001,51,Gewerbeschule,2,single parent family rate,0.0,0.0,27.0
2001,52,Escher Wyss,0,base rate,15.0,0.0,77.0
2001,52,Escher Wyss,1,couple rate,38.0,0.0,231.0
2001,52,Escher Wyss,2,single parent family rate,5.0,0.0,45.0
2001,61,Unterstrass,0,base rate,35.0,3.0,149.0
2001,61,Unterstrass,1,couple rate,118.0,20.0,343.0
2001,61,Unterstrass,2,single parent family rate,14.0,0.0,76.0
2001,63,Oberstrass,0,base rate,49.0,6.0,223.0
2001,63,Oberstrass,1,couple rate,252.0,57.0,892.0
2001,63,Oberstrass,2,single parent family rate,58.0,7.0,224.0
2001,71,Fluntern,0,base rate,76.0,8.0,421.5
