Year,district_name,gender,Total
1997,Hochschulen,F,337
1997,Hochschulen,M,425
1997,Hottingen,F,5604
1997,Hottingen,M,4722
1997,Höngg,F,10528
1997,Höngg,M,9265
1997,Langstrasse,F,4703
1997,Langstrasse,M,5777
1997,Leimbach,F,2394
1997,Leimbach,M,2090
1997,Lindenhof,F,504
1997,Lindenhof,M,521
1997,Mühlebach,F,2958
1997,Mühlebach,M,2516
1997,Oberstrass,F,5331
1997,Oberstrass,M,4663
1997,Oerlikon,F,8643
1997,Oerlikon,M,8122
1997,Rathaus,F,1372
1997,Rathaus,M,1711
1997,Saatlen,F,3351
1997,Saatlen,M,3077
1997,Schwamendingen-Mitte,F,5425
1997,Schwamendingen-Mitte,M,4812
1997,Seebach,F,9080
1997,Seebach,M,8639
1997,Seefeld,F,2669
1997,Seefeld,M,2486
1997,Sihlfeld,F,10925
1997,Sihlfeld,M,10207
1997,Unterstrass,F,10815
1997,Unterstrass,M,9466
1997,Weinegg,F,2613
1997,Weinegg,M,2186
1997,Werd,F,1853
1997,Werd,M,2075
1997,Wipkingen,F,8119
1997,Wipkingen,M,7698
1997,Witikon,F,5363
1997,Witikon,M,4214
1997,Wollishofen,F,8659
1997,Wollishofen,M,7161
1998,Affoltern,F,9500
1998,Affoltern,M,8969
1998,Albisrieden,F,8980
1998,Albisrieden,M,7568
1998,Alt-Wiedikon,F,7497
1998,Alt-Wiedikon,M,7478
1998,Altstetten,F,14100
1998,Altstetten,M,13556
1998,City,F,460
1998,City,M,570
1998,Enge,F,4194
1998,Enge,M,3956
1998,Escher Wyss,F,724
1998,Escher Wyss,M,855
1998,Fluntern,F,3904
1998,Fluntern,M,3368
1998,Friesenberg,F,5283
1998,Friesenberg,M,4746
1998,Gewerbeschule,F,4066
1998,Gewerbeschule,M,5398
1998,Hard,F,6455
1998,Hard,M,6416
1998,Hirslanden,F,3762
1998,Hirslanden,M,2940
1998,Hirzenbach,F,5874
1998,Hirzenbach,M,5141
1998,Hochschulen,F,350
1998,Hochschulen,M,442
1998,Hottingen,F,5566
1998,Hottingen,M,4674
1998,Höngg,F,10710
1998,Höngg,M,9344
1998,Langstrasse,F,4664
1998,Langstrasse,M,5735
1998,Leimbach,F,2459
1998,Leimbach,M,2160
1998,Lindenhof,F,480
1998,Lindenhof,M,515
1998,Mühlebach,F,2927
1998,Mühlebach,M,2534
1998,Oberstrass,F,5232
1998,Oberstrass,M,4675
1998,Oerlikon,F,8792
1998,Oerlikon,M,8234
1998,Rathaus,F,1375
1998,Rathaus,M,1675
1998,Saatlen,F,3414
1998,Saatlen,M,3154
1998,Schwamendingen-Mitte,F,5412
1998,Schwamendingen-Mitte,M,4762
1998,Seebach,F,9108
1998,Seebach,M,8798
1998,Seefeld,F,2626
1998,Seefeld,M,2461
1998,Sihlfeld,F,10862
1998,Sihlfeld,M,10156
1998,Unterstrass,F,10793
1998,Unterstrass,M,9473
1998,Weinegg,F,2617
1998,Weinegg,M,2199
1998,Werd,F,1814
1998,Werd,M,2099
1998,Wipkingen,F,8072
1998,Wipkingen,M,7571
1998,Witikon,F,5345
1998,Witikon,M,4208
1998,Wollishofen,F,8627
1998,Wollishofen,M,7199
1999,Affoltern,F,9497
1999,Affoltern,M,8971
1999,Albisrieden,F,8817
1999,Albisrieden,M,7524
1999,Alt-Wiedikon,F,7490
1999,Alt-Wiedikon,M,7399
1999,Altstetten,F,14283
1999,Altstetten,M,13645
1999,City,F,461
1999,City,M,506
1999,Enge,F,4183
1999,Enge,M,3951
1999,Escher Wyss,F,882
1999,Escher Wyss,M,1071
1999,Fluntern,F,3903
1999,Fluntern,M,3395
1999,Friesenberg,F,5231
1999,Friesenberg,M,4782
1999,Gewerbeschule,F,4132
1999,Gewerbeschule,M,5462
1999,Hard,F,6494
1999,Hard,M,6457
1999,Hirslanden,F,3865
1999,Hirslanden,M,2972
1999,Hirzenbach,F,5926
1999,Hirzenbach,M,5193
1999,Hochschulen,F,362
1999,Hochschulen,M,407
1999,Hottingen,F,5577
1999,Hottingen,M,4730
1999,Höngg,F,10948
1999,Höngg,M,9611
1999,Langstrasse,F,4602
1999,Langstrasse,M,5768
1999,Leimbach,F,2464
1999,Leimbach,M,2186
1999,Lindenhof,F,515
1999,Lindenhof,M,517
1999,Mühlebach,F,2961
1999,Mühlebach,M,2566
1999,Oberstrass,F,5202
1999,Oberstrass,M,4695
1999,Oerlikon,F,8888
1999,Oerlikon,M,8480
1999,Rathaus,F,1426
1999,Rathaus,M,1678
1999,Saatlen,F,3406
1999,Saatlen,M,3148
1999,Schwamendingen-Mitte,F,5475
